UNIQUEID,split
420825,val
537409,val
417566,val
624493,train
539055,train
518279,train
529269,train
510278,train
490213,test
510980,train
548567,train
486821,train
478647,train
479533,train
483869,val
600655,train
513916,train
522020,val
492995,test
568857,train
590630,val
467015,train
563215,train
513139,train
498082,train
586411,test
440293,val
566763,train
605314,train
519075,test
551137,train
525983,test
501823,train
451537,train
439084,train
584660,train
606338,test
641415,train
590213,train
422926,train
557071,val
582949,train
596436,test
507978,train
529381,test
480958,train
566809,train
585779,train
559601,train
612741,train
518864,train
604357,train
468164,train
557082,train
503444,train
650644,train
493777,train
508030,test
482553,train
460555,test
548388,train
584610,train
529422,train
558851,train
539731,val
566438,train
600956,val
576901,train
517611,train
502229,val
524678,train
558406,train
573625,test
433647,train
546769,train
616998,val
639238,train
652747,train
584459,train
653618,test
596844,test
431923,train
576883,train
434752,train
521436,test
508182,test
463163,train
525234,train
637252,train
594321,train
639321,test
584433,test
573647,train
465389,train
501910,train
543968,train
427177,test
603152,val
493843,train
515149,test
639803,train
478080,train
628799,test
446991,val
593737,train
426952,train
524703,test
558504,train
644762,train
607849,train
616967,val
426914,train
597017,test
644765,test
584591,train
566279,train
437494,train
529487,train
628750,val
440053,train
427136,train
457531,test
449156,val
484277,val
460472,train
547112,val
476624,train
606032,train
514635,train
647432,val
522196,train
527890,train
531676,train
449157,train
437998,val
547900,test
539350,train
598368,val
579393,train
599491,train
468999,train
508841,train
629049,test
579405,test
440431,train
633425,val
461951,train
451472,train
598830,train
527969,train
501429,train
504753,train
479174,train
651297,train
488655,val
436187,train
539017,train
426993,train
445234,train
632900,val
599286,train
484275,val
470009,train
461600,train
524071,train
579615,train
503543,train
600177,test
596040,train
451694,train
477704,val
437939,train
422738,train
601384,train
463091,test
474338,train
492350,train
474531,val
472917,train
492345,train
493571,train
500948,train
492156,test
540974,train
645956,train
504787,train
594419,train
574161,train
599406,train
451780,train
450522,train
521998,train
542701,train
501093,train
417430,train
623357,train
598020,test
599250,train
599551,train
472883,val
596745,train
441603,train
580403,val
594727,val
610853,train
644276,test
501382,val
627291,train
445895,test
508467,train
598742,train
514310,train
500977,val
503921,val
460552,val
611241,test
539046,train
501318,train
515846,train
551505,test
596072,val
473145,train
530577,train
480879,test
475179,train
579528,train
436212,train
491822,val
543941,train
504703,train
610274,train
472852,train
579452,train
476408,train
450504,train
522580,test
462735,train
486384,val
550621,train
439815,test
640764,train
444917,train
448442,val
537614,train
474933,train
579661,test
523652,test
529878,train
591475,val
623283,train
530373,test
596303,train
594134,train
632911,test
594585,train
492918,train
492701,train
442393,train
468127,train
595370,train
450895,train
579073,train
431444,train
541538,train
498448,train
638133,test
546494,train
487087,test
539031,train
618129,train
614194,test
502648,train
631071,test
583604,train
546084,train
582590,val
542059,train
441285,train
609616,train
606771,test
517344,train
516548,train
498430,train
418723,train
644204,train
540067,train
421853,train
554531,train
497002,train
608704,train
562691,train
609499,val
535499,train
442303,val
436581,val
519216,train
539745,val
615398,train
482998,train
546418,train
647023,train
478968,train
437687,train
609572,test
647019,train
419837,train
646536,test
620937,train
518055,train
608740,train
423589,train
462596,train
535895,train
632676,train
433219,train
438257,val
541546,test
485811,train
620494,train
591571,train
427695,test
631166,test
504316,val
457345,train
522515,train
628063,train
527245,train
592114,val
541819,train
429860,test
438537,test
420317,val
578650,train
519124,train
430970,train
461991,val
553038,train
554269,train
427719,train
647003,train
422687,train
457129,train
651640,train
565551,train
609317,train
428884,train
631505,train
467365,train
532726,train
649725,train
565167,val
540705,val
489620,train
538583,train
614238,train
582570,test
552088,train
609373,val
593707,train
607475,train
527301,train
548183,test
467068,train
516337,train
631256,train
542090,train
612331,train
527298,test
495080,val
639789,train
609134,test
428993,val
484817,val
584241,train
489607,test
609505,train
588491,test
485327,train
646947,train
650234,train
548718,val
420493,train
554431,train
608809,train
608853,train
549403,val
619993,train
620154,val
538789,train
461916,train
620526,train
502741,train
459292,val
539909,train
535528,train
423324,train
622665,train
638330,train
428242,train
614878,train
430422,val
431583,test
426869,train
428658,train
418738,train
431172,test
450096,test
438848,val
497386,test
489194,test
578958,train
617623,train
595964,val
490289,test
490258,train
596255,train
646691,train
596371,train
473496,train
594868,val
590133,train
510963,train
486742,train
648358,train
532910,val
504266,train
470998,train
521300,train
558953,train
504358,train
588020,test
636949,test
489209,train
465526,test
635998,test
461239,train
505778,train
541238,train
589843,train
510981,train
618097,train
522479,train
596281,train
636581,train
481417,train
580181,train
489139,train
478418,train
498618,val
597809,val
497316,val
595262,train
449927,train
437967,train
620796,val
515837,train
587842,test
495483,train
579337,train
596067,train
426088,train
596540,train
460140,train
463471,test
451638,test
478345,train
579365,train
595946,val
595218,train
461457,test
648809,val
595694,test
451730,train
514287,val
496918,val
590095,train
637962,train
644186,train
636512,train
589852,train
589426,train
580255,train
596426,val
613680,train
600315,train
534598,train
596205,train
472651,train
538137,train
588824,train
429990,train
451761,test
500693,train
424541,train
524894,train
596627,val
445417,test
533395,train
596325,train
621251,test
582248,train
580299,train
428548,train
600792,train
580016,train
613406,train
469847,val
621209,train
580383,train
548347,train
581628,val
595490,test
582173,train
445474,train
442769,train
595503,train
642710,val
535905,train
469016,train
580370,train
453142,train
472895,val
442584,train
642460,train
613955,test
595811,train
508035,train
498218,train
596385,test
614241,val
500684,test
428488,train
443240,train
493605,val
445734,train
430203,test
482192,train
582303,train
596349,test
533748,train
626285,train
423254,train
549109,train
613856,test
535150,train
580109,test
470026,train
469448,train
514354,val
621299,train
504392,val
613933,train
578848,test
603658,train
595630,train
476894,test
579137,train
440827,train
650769,train
584644,train
440590,train
532939,val
579198,val
488449,train
581831,test
604154,train
472909,train
579121,test
593059,train
490721,train
612585,train
538906,train
641151,train
617656,train
447023,train
539128,train
562968,val
583430,train
641142,train
593087,train
432461,test
613011,train
578097,train
614542,train
466746,train
489539,train
526573,val
582760,train
451543,train
435463,train
470459,train
613457,train
467914,train
